Nummer,Kategorie,Ende,Gebote,Preis
1843,Auto,2020-07-01 19:35:00,31,15600
2458,Auto,2020-07-08 19:05:00,16,8800
4654,Auto,2020-08-05 19:10:00,23,10200
6597,Auto,2020-06-24 19:20:00,26,9800
7116,Auto,2020-07-22 19:00:00,17,10000
10713,Auto,2020-06-24 19:00:00,8,5050
12546,Auto,2020-08-12 19:10:00,26,3800
12781,Auto,2020-07-08 19:05:00,32,3250
15703,Auto,2020-07-22 19:05:00,32,3600
21637,Auto,2020-07-15 19:00:00,27,2610
21792,Auto,2020-07-29 19:05:00,48,2250
23295,Auto,2020-06-24 19:30:00,23,2580
26060,Auto,2020-08-12 19:05:00,60,3210
26297,Auto,2020-07-22 19:15:00,42,2190
28249,Auto,2020-07-08 19:15:00,37,2820
35403,Auto,2020-06-24 19:00:00,8,2100
35592,Auto,2020-08-12 19:00:00,34,2040
35797,Auto,2020-08-05 19:00:00,61,2730
36467,Auto,2020-07-01 19:00:00,30,1950
37034,Auto,2020-07-29 19:00:00,40,2130
38299,Auto,2020-06-24 20:20:00,45,3030
38301,Auto,2020-07-22 19:25:00,54,5100
38401,Auto,2020-07-22 19:30:00,34,4530
38765,Auto,2020-07-29 19:15:00,36,1950
38825,Auto,2020-08-12 19:00:00,28,2010
39858,Auto,2020-07-15 19:00:00,32,2040
41160,Auto,2020-07-08 19:35:00,45,3300
41755,Auto,2020-08-12 19:55:00,57,2820
42835,Auto,2020-07-15 19:30:00,40,1890
43299,Auto,2020-07-29 19:05:00,42,1560
43697,Auto,2020-08-12 19:00:00,10,1650
44848,Auto,2020-08-05 19:00:00,32,5100
45355,Auto,2020-06-24 19:10:00,13,2280
45705,Auto,2020-07-01 19:15:00,11,2010
46433,Auto,2020-07-15 19:05:00,40,2310
48116,Auto,2020-08-05 19:00:00,19,1680
48597,Auto,2020-06-24 19:05:00,14,2550
49698,Auto,2020-07-22 19:00:00,20,1560
50414,Auto,2020-07-15 19:00:00,52,2520
50438,Auto,2020-08-05 19:05:00,20,1380
51391,Auto,2020-08-12 19:00:00,19,1700
53195,Auto,2020-07-22 19:05:00,22,1620
53549,Auto,2020-07-08 19:00:00,16,2000
53886,Auto,2020-07-22 19:00:00,27,1280
54260,Auto,2020-07-08 19:00:00,33,1740
54842,Auto,2020-07-15 19:10:00,21,2000
56018,Auto,2020-06-24 19:10:00,48,2500
56396,Auto,2020-07-08 19:05:00,39,2020
56970,Auto,2020-08-05 19:10:00,15,2100
56992,Auto,2020-07-22 19:25:00,26,1800
57194,Auto,2020-07-01 19:00:00,14,1400
57741,Auto,2020-07-22 19:15:00,40,1500
58104,Auto,2020-07-29 19:25:00,26,1400
58134,Auto,2020-07-29 19:20:00,43,1580
58241,Auto,2020-07-29 19:00:00,17,1240
58865,Auto,2020-06-24 19:00:00,31,1840
58879,Auto,2020-08-12 19:15:00,31,2120
59151,Auto,2020-07-01 19:15:00,39,1840
61489,Auto,2020-07-22 19:30:00,34,1560
61917,Auto,2020-08-05 19:00:00,9,1280
61975,Auto,2020-07-01 19:00:00,1,2000
62536,Auto,2020-07-01 19:50:00,56,1840
62561,Auto,2020-07-08 19:15:00,51,1920
62869,Auto,2020-08-05 19:20:00,19,1640
63531,Auto,2020-06-24 19:00:00,18,1780
64340,Auto,2020-07-22 20:10:00,47,2020
64957,Auto,2020-07-15 19:05:00,25,1520
65485,Auto,2020-07-29 19:10:00,37,1320
65839,Auto,2020-07-01 19:00:00,14,1200
65922,Auto,2020-07-22 19:05:00,32,1500
67157,Auto,2020-07-29 20:05:00,39,1900
67279,Auto,2020-07-01 19:25:00,29,1680
67571,Auto,2020-06-24 19:00:00,42,2060
67982,Auto,2020-07-08 19:00:00,32,1540
69312,Auto,2020-07-22 19:00:00,27,1300
69420,Auto,2020-08-12 19:45:00,45,2700
69509,Auto,2020-07-15 19:05:00,23,1520
70128,Auto,2020-08-12 19:00:00,7,1360
71308,Auto,2020-07-01 19:05:00,16,2400
71504,Auto,2020-07-01 19:00:00,7,2000
72474,Auto,2020-08-05 19:00:00,48,2700
72879,Auto,2020-07-15 19:05:00,31,1400
73065,Auto,2020-07-08 19:00:00,56,1740
73608,Auto,2020-07-15 19:25:00,39,1500
73622,Auto,2020-07-29 19:15:00,37,1420
74231,Auto,2020-08-05 19:00:00,4,1220
74316,Auto,2020-06-24 19:00:00,29,1800
75281,Auto,2020-07-01 19:20:00,58,1900
76954,Auto,2020-07-29 19:25:00,15,1620
76958,Auto,2020-07-15 19:15:00,18,1500
77215,Auto,2020-07-01 19:05:00,21,2020
77328,Auto,2020-08-05 19:15:00,29,1400
77821,Auto,2020-07-15 19:15:00,24,1700
78161,Auto,2020-07-29 19:00:00,38,1160
79268,Auto,2020-07-22 19:00:00,21,1360
80376,Auto,2020-07-01 19:20:00,39,1600
81537,Auto,2020-07-08 19:10:00,17,1700
81613,Auto,2020-06-24 19:00:00,23,2200
81674,Auto,2020-07-15 19:10:00,29,1360
81913,Auto,2020-07-01 19:50:00,45,3000
82315,Auto,2020-08-05 19:30:00,19,1300
82445,Auto,2020-08-12 19:10:00,28,1500
83073,Auto,2020-07-22 19:20:00,20,1500
85914,Auto,2020-07-01 19:45:00,39,1680
86115,Auto,2020-07-22 19:30:00,49,1560
86137,Auto,2020-07-01 19:45:00,58,1700
86378,Auto,2020-08-12 19:25:00,27,1600
87893,Auto,2020-08-05 19:15:00,28,1600
88137,Auto,2020-07-22 19:15:00,15,1500
88587,Auto,2020-07-15 19:15:00,38,2200
88597,Auto,2020-07-15 19:15:00,25,1500
89703,Auto,2020-07-29 19:10:00,20,1520
89871,Auto,2020-07-08 19:00:00,22,1720
90878,Auto,2020-08-05 19:00:00,13,1200
91798,Auto,2020-07-15 19:00:00,23,1520
92013,Auto,2020-07-01 19:35:00,46,2040
92130,Auto,2020-07-22 19:00:00,15,1240
92186,Auto,2020-07-08 19:20:00,22,1700
92558,Auto,2020-08-12 19:00:00,12,1020
92742,Auto,2020-07-29 19:00:00,28,1140
92862,Auto,2020-07-01 19:25:00,46,1580
93522,Auto,2020-06-24 19:45:00,50,2200
93540,Auto,2020-07-01 19:20:00,42,1500
93691,Auto,2020-08-05 19:05:00,11,1200
95344,Auto,2020-07-22 19:05:00,9,1060
95485,Auto,2020-08-05 19:00:00,8,1100
95869,Auto,2020-07-01 19:45:00,40,1640
96163,Auto,2020-07-08 19:15:00,37,2860
96261,Auto,2020-07-22 19:00:00,17,1100
96442,Auto,2020-06-24 19:50:00,49,2400
97823,Auto,2020-07-01 19:15:00,47,1460
99813,Auto,2020-07-08 19:05:00,25,1720
99859,Auto,2020-07-15 19:30:00,53,2080
634000,Auto,2020-07-22 19:00:00,14,1000
697000,Auto,2020-07-29 19:00:00,24,1190
901901,Auto,2020-07-22 20:05:00,249,6710
1368,Motorrad,2020-07-15 19:20:00,39,1520
1435,Motorrad,2020-08-05 19:00:00,22,1240
2151,Motorrad,2020-06-24 19:00:00,13,2200
2249,Motorrad,2020-07-01 19:00:00,9,1000
3475,Motorrad,2020-07-29 19:00:00,14,1320
3545,Motorrad,2020-07-22 19:15:00,32,1740
3568,Motorrad,2020-07-01 19:10:00,25,1020
3619,Motorrad,2020-07-15 19:15:00,23,1300
3956,Motorrad,2020-06-24 19:00:00,10,1220
4461,Motorrad,2020-08-12 19:05:00,22,1200
4876,Motorrad,2020-07-15 19:15:00,34,1300
5411,Motorrad,2020-08-05 19:15:00,40,1250
5776,Motorrad,2020-07-22 19:15:00,16,1330
5862,Motorrad,2020-08-12 19:35:00,17,1360
6625,Motorrad,2020-08-12 19:15:00,41,1310
7081,Motorrad,2020-08-12 19:20:00,24,1500
7251,Motorrad,2020-07-22 19:35:00,56,1600
7310,Motorrad,2020-07-15 19:10:00,39,1200
7428,Motorrad,2020-07-08 19:30:00,38,1520
7539,Motorrad,2020-06-24 19:05:00,19,1250
8497,Motorrad,2020-07-22 19:15:00,35,1260
8791,Motorrad,2020-07-15 19:10:00,26,1210
8846,Motorrad,2020-07-29 19:00:00,16,1150
9049,Motorrad,2020-07-01 19:00:00,39,1010
9716,Motorrad,2020-07-08 19:00:00,32,1050
9854,Motorrad,2020-07-22 19:00:00,22,1010
66156,Auto,2020-07-29 19:00:00,22,2000
222333,Auto,2020-07-29 19:00:00,20,5500
41987,Auto,2020-07-01 19:10:00,8,1680
88886,Auto,2020-08-05 19:30:00,57,11300
90581,Auto,2020-08-12 19:00:00,18,1380
7824,Motorrad,2020-07-01 19:00:00,11,1500
547000,Auto,2020-07-08 19:00:00,26,2110
69817,Auto,2020-07-15 19:00:00,16,1520
85308,Auto,2020-06-24 19:15:00,39,2200
97050,Auto,2020-08-12 19:00:00,36,2720
54265,Auto,2020-08-12 19:10:00,35,1780
56782,Auto,2020-07-01 19:10:00,33,1720
62142,Auto,2020-07-15 19:00:00,28,1600
37682,Auto,2020-07-15 19:10:00,40,2160
65768,Auto,2020-08-12 19:20:00,42,2240
70153,Auto,2020-07-22 19:00:00,32,1280
58230,Auto,2020-07-15 19:00:00,39,1760
71136,Auto,2020-07-15 19:00:00,21,1340
83063,Auto,2020-08-05 19:00:00,5,1500
92064,Auto,2020-07-22 19:00:00,8,1600
2790,Motorrad,2020-08-05 19:05:00,26,1300
37505,Auto,2020-07-08 19:50:00,45,3000
717,Auto,2020-08-05 19:10:00,22,30000
766,Auto,2020-07-01 19:35:00,30,36000
788,Auto,2020-07-15 19:05:00,40,32800
797,Auto,2020-08-12 19:00:00,12,25600
925,Auto,2020-07-29 19:00:00,14,21600
936,Auto,2020-06-24 20:10:00,55,44800
940,Auto,2020-07-22 19:00:00,10,20800
975,Auto,2020-07-08 19:35:00,27,31200
65083,Auto,2020-07-08 19:00:00,31,1720
75200,Auto,2020-08-12 19:00:00,3,3200
81174,Auto,2020-07-29 19:15:00,35,1840
4530,Motorrad,2020-07-29 19:00:00,18,1360
41161,Auto,2020-07-08 19:05:00,28,2400
58997,Auto,2020-07-15 19:00:00,20,1600
96061,Auto,2020-07-29 19:00:00,32,1440
8448,Motorrad,2020-07-08 19:00:00,36,1810
9847,Motorrad,2020-06-24 19:05:00,20,1100
720000,Auto,2020-07-15 19:00:00,17,7200
60055,Auto,2020-07-29 19:00:00,32,3520
21242,Auto,2020-07-01 19:35:00,68,4500
4943,Motorrad,2020-07-08 19:25:00,40,1600
87678,Auto,2020-07-15 19:05:00,24,3500
39191,Auto,2020-08-05 19:15:00,36,4530
54177,Auto,2020-07-08 19:30:00,35,2500
93317,Auto,2020-07-08 19:05:00,25,2380
13363,Auto,2020-07-29 19:00:00,33,4450
39873,Auto,2020-07-08 19:05:00,24,2430
70952,Auto,2020-08-05 19:00:00,15,1220
71705,Auto,2020-07-08 19:10:00,37,2520
6058,Motorrad,2020-07-01 19:00:00,21,900
79466,Auto,2020-08-12 19:20:00,38,1500
2787,Motorrad,2020-07-08 19:00:00,32,1600
787,Motorrad,2020-07-22 19:15:00,35,7100
821,Motorrad,2020-07-08 19:00:00,14,2600
837,Motorrad,2020-08-05 19:00:00,19,3000
940,Motorrad,2020-06-24 19:00:00,15,3500
203007,Auto,2020-08-05 19:00:00,35,1300
7124,Auto,2020-08-12 19:20:00,19,8200
76398,Auto,2020-07-08 19:30:00,30,1700
2482,Motorrad,2020-07-22 19:00:00,6,1020
71920,Auto,2020-08-12 19:35:00,44,1760
938839,Auto,2020-07-15 19:10:00,27,1050
114007,Auto,2020-07-01 19:00:00,14,3000
461164,Auto,2020-08-12 19:00:00,44,1130
9887,Motorrad,2020-08-12 19:05:00,39,1300
328823,Auto,2020-07-08 19:20:00,41,1510
4006,Auto,2020-07-15 19:00:00,19,10600
83430,Auto,2020-07-29 19:35:00,42,1600
85757,Auto,2020-08-12 19:00:00,39,2000
89952,Auto,2020-07-29 19:10:00,18,1500
5799,Motorrad,2020-07-29 19:10:00,21,1400
7803,Motorrad,2020-07-29 19:00:00,26,1100
59169,Auto,2020-08-05 19:00:00,32,2000
71328,Auto,2020-06-24 19:05:00,23,2020
84488,Auto,2020-07-29 19:00:00,45,3420
86292,Auto,2020-07-08 19:00:00,27,1440
96816,Auto,2020-08-05 19:15:00,20,1240
1245,Motorrad,2020-08-12 19:50:00,25,1980
3703,Motorrad,2020-08-12 19:20:00,31,1220
7735,Motorrad,2020-07-01 19:35:00,25,1020
115007,Auto,2020-07-01 19:00:00,35,3110
50222,Auto,2020-07-29 19:05:00,25,5020
420420,Auto,2020-08-05 19:10:00,62,4600
16374,Auto,2020-07-01 20:05:00,56,5150
39368,Auto,2020-07-01 19:35:00,56,3300
6450,Motorrad,2020-06-24 19:10:00,23,2300
619916,Auto,2020-06-24 19:25:00,60,2120
61610,Auto,2020-07-08 19:15:00,48,3900
91414,Auto,2020-08-12 19:00:00,33,2220
6616,Motorrad,2020-07-15 19:15:00,44,1500
9046,Motorrad,2020-06-24 19:05:00,31,1350
595595,Auto,2020-06-24 19:10:00,19,2500
311000,Auto,2020-08-12 19:00:00,14,2000
47016,Auto,2020-07-29 19:10:00,32,1530
67447,Auto,2020-08-12 19:10:00,28,1700
77247,Auto,2020-07-22 19:00:00,21,2000
90031,Auto,2020-07-15 19:45:00,46,3680
79932,Auto,2020-07-29 19:25:00,27,1560
9911,Motorrad,2020-07-01 19:00:00,7,2000
9006,Auto,2020-07-29 19:25:00,27,14600
11808,Auto,2020-08-05 19:05:00,29,4500
51829,Auto,2020-08-05 19:00:00,14,1280
60022,Auto,2020-08-12 19:15:00,24,3000
3221,Motorrad,2020-08-05 19:15:00,30,1340
6925,Motorrad,2020-08-05 19:05:00,24,1000
7987,Motorrad,2020-08-05 19:15:00,26,1050
9959,Motorrad,2020-07-15 19:25:00,31,1600
63400,Auto,2020-08-05 19:00:00,12,2500
81759,Auto,2020-07-22 19:10:00,35,1280
1002,Motorrad,2020-07-29 19:05:00,59,2920
15451,Auto,2020-07-15 19:10:00,24,4600
29100,Auto,2020-08-05 19:05:00,56,4020
72778,Auto,2020-07-22 19:00:00,31,1500
77702,Auto,2020-07-08 19:00:00,15,4000
86219,Auto,2020-07-08 19:40:00,29,1720
93953,Auto,2020-08-12 19:40:00,44,1780
6500,Motorrad,2020-07-08 19:20:00,36,2600
42309,Auto,2020-07-22 19:30:00,35,3000
65903,Auto,2020-08-05 19:00:00,23,1320
92140,Auto,2020-07-29 19:00:00,21,1420
9967,Motorrad,2020-07-29 19:00:00,15,910
59439,Auto,2020-08-12 19:30:00,30,1780
